Version,Mirror,Dataset,Model,Input Dim,Num Classes,Window Size,Sampling Freq,Batch Size,Num Stages,Num Layers,Num Filters,Kernel Size,Dropout
202503281533,No,FDI,MSTCN,6,3,960,16,64,2,9,128,3,0.3
202503281533,Yes,FDI,MSTCN,6,3,960,16,64,2,9,128,3,0.3
202504100057,No,FDI,MSTCN,6,3,960,16,64,2,9,128,3,0.3
202504100057,Yes,FDI,MSTCN,6,3,960,16,64,2,9,128,3,0.3
202504100238,No,FDI,MSTCN,6,3,960,16,64,2,9,128,3,0.3
202504100238,Yes,FDI,MSTCN,6,3,960,16,64,2,9,128,3,0.3
202504100555,No,FDI,MSTCN,6,3,960,16,64,2,9,128,3,0.3
202504100555,Yes,FDI,MSTCN,6,3,960,16,64,2,9,128,3,0.3
202504100920,No,FDI,MSTCN,6,3,960,16,64,2,9,128,3,0.3
202504100920,Yes,FDI,MSTCN,6,3,960,16,64,2,9,128,3,0.3
